"filename", "language", "vue", "HTML", "YAML", "Rust", "TOML", "comment", "blank", "total"
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/index.html", "HTML", 0, 28, 0, 0, 0, 0, 3, 31
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/pnpm-lock.yaml", "YAML", 0, 0, 3741, 0, 0, 0, 549, 4290
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/App.vue", "vue", 3, 0, 0, 0, 0, 0, 1, 4
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/components/AddButton.vue", "vue", 23, 0, 0, 0, 0, 0, 3, 26
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/components/DeleteButton.vue", "vue", 23, 0, 0, 0, 0, 0, 3, 26
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/components/IconSelector.vue", "vue", 134, 0, 0, 0, 0, 0, 2, 136
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/components/MarkdownEditor.vue", "vue", 5, 0, 0, 0, 0, 0, 3, 8
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/components/MessageContent.vue", "vue", 75, 0, 0, 0, 0, 0, 3, 78
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/components/ModalDialog.vue", "vue", 65, 0, 0, 0, 0, 0, 3, 68
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/components/PasswordStrong.vue", "vue", 86, 0, 0, 0, 0, 0, 8, 94
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/components/RichTextEditor.vue", "vue", 54, 0, 0, 0, 0, 0, 7, 61
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/components/Scrollbar/src/Scrollbar.vue", "vue", 172, 0, 0, 0, 0, 0, 23, 195
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/components/SearchContent.vue", "vue", 100, 0, 0, 0, 0, 0, 3, 103
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/components/SortableTable.vue", "vue", 126, 0, 0, 0, 0, 0, 3, 129
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/components/TableBody.vue", "vue", 14, 0, 0, 0, 0, 0, 2, 16
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/components/TableConfig.vue", "vue", 46, 0, 0, 0, 0, 0, 3, 49
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/components/TableFooter.vue", "vue", 86, 0, 0, 0, 0, 0, 3, 89
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/components/TableHeader.vue", "vue", 72, 0, 0, 0, 0, 0, 3, 75
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/layout/Layout.vue", "vue", 129, 0, 0, 0, 0, 0, 3, 132
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/layout/Main.vue", "vue", 28, 0, 0, 0, 0, 0, 3, 31
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/layout/MainLayout.vue", "vue", 158, 0, 0, 0, 0, 0, 8, 166
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/layout/actions/index.vue", "vue", 118, 0, 0, 0, 0, 0, 3, 121
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/layout/avatar/index.vue", "vue", 119, 0, 0, 0, 0, 0, 4, 123
