"filename", "language", "vue", "HTML", "YAML", "Rust", "TOML", "comment", "blank", "total"
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/index/components/ProjectList.vue", "vue", 66, 0, 0, 0, 0, 0, 4, 70
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/index/components/SaleOrderList.vue", "vue", 121, 0, 0, 0, 0, 0, 5, 126
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/index/components/TodoItem.vue", "vue", 59, 0, 0, 0, 0, 0, 4, 63
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/index/components/chart/DepartmentChart.vue", "vue", 99, 0, 0, 0, 0, 0, 3, 102
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/index/components/chart/EnrollmentChannelsChart.vue", "vue", 114, 0, 0, 0, 0, 0, 3, 117
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/index/components/chart/FullYearSalesChart.vue", "vue", 120, 0, 0, 0, 0, 0, 3, 123
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/index/components/chart/HotProductChart.vue", "vue", 105, 0, 0, 0, 0, 0, 3, 108
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/index/components/chart/OrderChart.vue", "vue", 108, 0, 0, 0, 0, 0, 3, 111
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/index/components/chart/SalesChart.vue", "vue", 105, 0, 0, 0, 0, 0, 3, 108
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/index/components/chart/WeekSalesChart.vue", "vue", 123, 0, 0, 0, 0, 0, 3, 126
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/index/index.vue", "vue", 173, 0, 0, 0, 0, 0, 5, 178
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/index/personal/index.vue", "vue", 266, 0, 0, 0, 0, 0, 3, 269
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/login/index.vue", "vue", 226, 0, 0, 0, 0, 0, 5, 231
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/monitor/login-log.vue", "vue", 241, 0, 0, 0, 0, 0, 5, 246
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/redirect/index.vue", "vue", 17, 0, 0, 0, 0, 0, 3, 20
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/redirect/preload-route.vue", "vue", 29, 0, 0, 0, 0, 0, 4, 33
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/system/perm.vue", "vue", 651, 0, 0, 0, 0, 0, 6, 657
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/system/role.vue", "vue", 444, 0, 0, 0, 0, 0, 6, 450
